locus	organism	source	kept	interpro_entries
AT5G58280	arabidopsis_thaliana	region:5:20000001	false	IPR003340,IPR015300,IPR044837
AT5G60130	arabidopsis_thaliana	region:5:24000001	false	IPR003340,IPR015300,IPR050655
AT5G60140	arabidopsis_thaliana	region:5:24000001	false	IPR003340,IPR015300,IPR050655
AT5G60142	arabidopsis_thaliana	region:5:24000001	false	IPR003340,IPR015300,IPR050655
AT5G60450	arabidopsis_thaliana	region:5:24000001	true	IPR003340,IPR010525,IPR015300,IPR044835,IPR053793
AT5G61980	arabidopsis_thaliana	region:5:24000001	false	IPR001164,IPR001849,IPR002110,IPR004148,IPR011993,IPR027267,IPR035670,IPR036770,IPR037278,IPR038508,IPR045258
AT5G62000	arabidopsis_thaliana	region:5:24000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT5G65980	arabidopsis_thaliana	region:5:24000001	false	IPR004776,IPR045033
AT5G66260	arabidopsis_thaliana	region:5:24000001	false	IPR003676
AT5G66980	arabidopsis_thaliana	region:5:24000001	false	IPR003340,IPR015300,IPR050655
ATMG00940	arabidopsis_thaliana	paralog:AT2G28350	true	IPR010525,IPR044835
Os01g0236300	oryza_sativa	gramene_homologs:AT1G34170	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
Os02g0141100	oryza_sativa	paralog:Os06g0196700	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
Os04g0671900	oryza_sativa	gramene_homologs:AT5G37020	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
Os06g0196700	oryza_sativa	gramene_homologs:AT1G19220	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
Os08g0520500	oryza_sativa	paralog:Os06g0196700	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
Os08g0520550	oryza_sativa	paralog:Os06g0196700	true	IPR003340,IPR010525,IPR015300,IPR044835
TraesCS2A02G547800	triticum_aestivum	gramene_homologs:AT5G37020	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS2A02G547800 organism_id=4565
TraesCS2A02G567300	triticum_aestivum	gramene_homologs:AT1G77850	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS2A02G567300 organism_id=4565
TraesCS2B02G578500	triticum_aestivum	gramene_homologs:AT5G37020	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS2B02G578500 organism_id=4565
TraesCS2D02G548900	triticum_aestivum	gramene_homologs:AT5G37020	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS2D02G548900 organism_id=4565
TraesCS3A02G159200	triticum_aestivum	gramene_homologs:AT1G34170	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS3A02G159200 organism_id=4565
TraesCS3B02G190100	triticum_aestivum	gramene_homologs:AT1G34170	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS3B02G190100 organism_id=4565
TraesCS3D02G166700	triticum_aestivum	gramene_homologs:AT1G34170	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS3D02G166700 organism_id=4565
TraesCS7B02G065800	triticum_aestivum	gramene_homologs:AT1G19220	undecided	call failed: [NotFoundError] UniProt has no entry for gene=TraesCS7B02G065800 organism_id=4565
